county,precinct,office,district,party,candidate,votes
Adams,10,Registered,,DEM,DEM,195
Adams,20,Registered,,DEM,DEM,152
Adams,30,Registered,,DEM,DEM,135
Adams,40,Registered,,DEM,DEM,408
Adams,50,Registered,,DEM,DEM,213
Adams,60,Registered,,DEM,DEM,313
Adams,70,Registered,,DEM,DEM,404
Adams,80,Registered,,DEM,DEM,441
Adams,85,Registered,,DEM,DEM,393
Adams,90,Registered,,DEM,DEM,694
Adams,100,Registered,,DEM,DEM,752
Adams,110,Registered,,DEM,DEM,598
Adams,120,Registered,,DEM,DEM,315
Adams,130,Registered,,DEM,DEM,512
Adams,140,Registered,,DEM,DEM,483
Adams,150,Registered,,DEM,DEM,269
Adams,160,Registered,,DEM,DEM,115
Adams,170,Registered,,DEM,DEM,466
Adams,180,Registered,,DEM,DEM,397
Adams,190,Registered,,DEM,DEM,175
Adams,200,Registered,,DEM,DEM,431
Adams,210,Registered,,DEM,DEM,667
Adams,230,Registered,,DEM,DEM,1154
Adams,240,Registered,,DEM,DEM,514
Adams,260,Registered,,DEM,DEM,441
Adams,270,Registered,,DEM,DEM,384
Adams,280,Registered,,DEM,DEM,176
Adams,290,Registered,,DEM,DEM,291
Adams,310,Registered,,DEM,DEM,416
Adams,320,Registered,,DEM,DEM,261
Adams,330,Registered,,DEM,DEM,324
Adams,340,Registered,,DEM,DEM,411
Adams,350,Registered,,DEM,DEM,329
Adams,360,Registered,,DEM,DEM,246
Adams,370,Registered,,DEM,DEM,509
Adams,380,Registered,,DEM,DEM,428
Adams,390,Registered,,DEM,DEM,346
Adams,400,Registered,,DEM,DEM,521
Adams,410,Registered,,DEM,DEM,317
Adams,420,Registered,,DEM,DEM,362
Adams,425,Registered,,DEM,DEM,613
Adams,435,Registered,,DEM,DEM,556
Adams,440,Registered,,DEM,DEM,278
Adams,450,Registered,,DEM,DEM,310
Adams,455,Registered,,DEM,DEM,366
Adams,460,Registered,,DEM,DEM,585
Adams,470,Registered,,DEM,DEM,424
Adams,480,Registered,,DEM,DEM,355
Adams,500,Registered,,DEM,DEM,498
Adams,510,Registered,,DEM,DEM,120
Allegheny,10,Registered,,DEM,DEM,544
Allegheny,20,Registered,,DEM,DEM,481
Allegheny,30,Registered,,DEM,DEM,298
Allegheny,40,Registered,,DEM,DEM,485
Allegheny,50,Registered,,DEM,DEM,674
Allegheny,60,Registered,,DEM,DEM,423
Allegheny,70,Registered,,DEM,DEM,283
Allegheny,80,Registered,,DEM,DEM,191
Allegheny,90,Registered,,DEM,DEM,256
Allegheny,100,Registered,,DEM,DEM,285
Allegheny,110,Registered,,DEM,DEM,428
Allegheny,120,Registered,,DEM,DEM,437
Allegheny,130,Registered,,DEM,DEM,373
Allegheny,140,Registered,,DEM,DEM,598
Allegheny,150,Registered,,DEM,DEM,501
Allegheny,160,Registered,,DEM,DEM,450
Allegheny,170,Registered,,DEM,DEM,479
Allegheny,180,Registered,,DEM,DEM,415
Allegheny,190,Registered,,DEM,DEM,447
Allegheny,200,Registered,,DEM,DEM,373
Allegheny,210,Registered,,DEM,DEM,454
Allegheny,225,Registered,,DEM,DEM,641
Allegheny,235,Registered,,DEM,DEM,779
Allegheny,240,Registered,,DEM,DEM,398
Allegheny,250,Registered,,DEM,DEM,397
Allegheny,260,Registered,,DEM,DEM,345
Allegheny,270,Registered,,DEM,DEM,487
Allegheny,280,Registered,,DEM,DEM,544
Allegheny,290,Registered,,DEM,DEM,401
Allegheny,300,Registered,,DEM,DEM,576
Allegheny,310,Registered,,DEM,DEM,439
Allegheny,320,Registered,,DEM,DEM,565
Allegheny,330,Registered,,DEM,DEM,614
Allegheny,340,Registered,,DEM,DEM,679
Allegheny,350,Registered,,DEM,DEM,589
Allegheny,360,Registered,,DEM,DEM,590
Allegheny,370,Registered,,DEM,DEM,551
Allegheny,380,Registered,,DEM,DEM,279
Allegheny,390,Registered,,DEM,DEM,519
Allegheny,400,Registered,,DEM,DEM,143
Allegheny,410,Registered,,DEM,DEM,383
Allegheny,420,Registered,,DEM,DEM,409
Allegheny,430,Registered,,DEM,DEM,419
Allegheny,440,Registered,,DEM,DEM,310
Allegheny,450,Registered,,DEM,DEM,394
Allegheny,460,Registered,,DEM,DEM,495
Allegheny,470,Registered,,DEM,DEM,344
Allegheny,480,Registered,,DEM,DEM,512
Allegheny,490,Registered,,DEM,DEM,448
Allegheny,500,Registered,,DEM,DEM,599
Allegheny,510,Registered,,DEM,DEM,392
Allegheny,520,Registered,,DEM,DEM,401
Allegheny,530,Registered,,DEM,DEM,318
Allegheny,540,Registered,,DEM,DEM,332
Allegheny,550,Registered,,DEM,DEM,696
Allegheny,560,Registered,,DEM,DEM,537
Allegheny,570,Registered,,DEM,DEM,422
Allegheny,580,Registered,,DEM,DEM,371
Allegheny,590,Registered,,DEM,DEM,507
Allegheny,600,Registered,,DEM,DEM,559
Allegheny,610,Registered,,DEM,DEM,360
Allegheny,620,Registered,,DEM,DEM,276
Allegheny,630,Registered,,DEM,DEM,289
Allegheny,640,Registered,,DEM,DEM,576
Allegheny,645,Registered,,DEM,DEM,214
Allegheny,650,Registered,,DEM,DEM,240
Allegheny,660,Registered,,DEM,DEM,332
Allegheny,670,Registered,,DEM,DEM,544
Allegheny,680,Registered,,DEM,DEM,602
Allegheny,690,Registered,,DEM,DEM,276
Allegheny,700,Registered,,DEM,DEM,400
Allegheny,710,Registered,,DEM,DEM,321
Allegheny,720,Registered,,DEM,DEM,409
Allegheny,730,Registered,,DEM,DEM,517
Allegheny,740,Registered,,DEM,DEM,357
Allegheny,750,Registered,,DEM,DEM,620
Allegheny,760,Registered,,DEM,DEM,384
Allegheny,770,Registered,,DEM,DEM,374
Allegheny,780,Registered,,DEM,DEM,281
Allegheny,790,Registered,,DEM,DEM,393
Allegheny,800,Registered,,DEM,DEM,335
Allegheny,810,Registered,,DEM,DEM,452
Allegheny,820,Registered,,DEM,DEM,420
Allegheny,830,Registered,,DEM,DEM,393
Allegheny,840,Registered,,DEM,DEM,397
Allegheny,850,Registered,,DEM,DEM,399
Allegheny,860,Registered,,DEM,DEM,347
Allegheny,870,Registered,,DEM,DEM,273
Allegheny,880,Registered,,DEM,DEM,410
Allegheny,890,Registered,,DEM,DEM,428
Allegheny,900,Registered,,DEM,DEM,416
Allegheny,910,Registered,,DEM,DEM,534
Allegheny,920,Registered,,DEM,DEM,274
Allegheny,930,Registered,,DEM,DEM,660
Allegheny,940,Registered,,DEM,DEM,509
Allegheny,950,Registered,,DEM,DEM,252
Allegheny,960,Registered,,DEM,DEM,373
Allegheny,970,Registered,,DEM,DEM,285
Allegheny,980,Registered,,DEM,DEM,287
Allegheny,990,Registered,,DEM,DEM,496
Allegheny,1000,Registered,,DEM,DEM,584
Allegheny,1010,Registered,,DEM,DEM,450
Allegheny,1020,Registered,,DEM,DEM,447
Allegheny,1030,Registered,,DEM,DEM,371
