ElectionDate,OfficeCode(text),DistrictCode(Text),StatusCode,CountyCode,county,precinct,zoffice1,office,district,PartyOrder,PartyDescription,party,CandidateID,candidate,CandidateFirstName,CandidateMiddleName,CandidateFormerName,votes,WriteIn(W)/Uncommitted(Z),Recount(*),Nomindated(N)/Elected(E)
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,5,GREEN,,5006,STEIN,JILL,,,12,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,1,DEMOCRATIC,DEM,376696,HARRIS,KAMALA,D.,,2140,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,2,REPUBLICAN,REP,439008,TRUMP,DONALD,J.,,5255,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,3,LIBERTARIAN,,466421,OLIVER,CHASE,,,26,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,4,U.S. TAXPAYERS,,466422,TERRY,RANDALL,,,8,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,7,NATURAL LAW,,466423,"KENNEDY, JR.",ROBERT,F.,,32,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,466425,KISHORE,JOSEPH,,,4,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,480174,WEST,CORNEL,,,2,,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481360,WRITE-IN,,,,0,Y,,
11/5/2024,1,0,0,1,ALCONA,ALL,ELECTORS OF PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES 4 YEAR TERM (1) POSITION,President of the United States,,8,NO PARTY AFFILIATION,,481361,WRITE-IN,,,,0,Y,,
