county,candidate,votes,precinct,office,district,party
Alachua,Trump,52929,ALL,President of the US,,REP
Alachua,Harris,81557,ALL,President of the US,,DEM
Alachua,Oliver,619,ALL,President of the US,,LIB
Alachua,DelaCruz,292,ALL,President of the US,,PSL
Alachua,Terry,82,ALL,President of the US,,CPF
Alachua,Sonski,150,ALL,President of the US,,ASP
Alachua,Stein,886,ALL,President of the US,,GRN
Alachua,Ayyadurai,0,ALL,President of the US,,WRI
Alachua,Fox,0,ALL,President of the US,,WRI
Baker,Trump,12925,ALL,President of the US,,REP
Baker,Harris,1982,ALL,President of the US,,DEM
Baker,Oliver,36,ALL,President of the US,,LIB
Baker,DelaCruz,6,ALL,President of the US,,PSL
Baker,Terry,3,ALL,President of the US,,CPF
Baker,Sonski,9,ALL,President of the US,,ASP
Baker,Stein,15,ALL,President of the US,,GRN
Baker,Ayyadurai,0,ALL,President of the US,,WRI
Baker,Fox,0,ALL,President of the US,,WRI
Bay,Trump,71480,ALL,President of the US,,REP
Bay,Harris,25178,ALL,President of the US,,DEM
Bay,Oliver,388,ALL,President of the US,,LIB
Bay,DelaCruz,99,ALL,President of the US,,PSL
Bay,Terry,66,ALL,President of the US,,CPF
Bay,Sonski,77,ALL,President of the US,,ASP
Bay,Stein,447,ALL,President of the US,,GRN
Bay,Ayyadurai,2,ALL,President of the US,,WRI
Bay,Fox,0,ALL,President of the US,,WRI
Bradford,Trump,10920,ALL,President of the US,,REP
Bradford,Harris,2946,ALL,President of the US,,DEM
Bradford,Oliver,27,ALL,President of the US,,LIB
Bradford,DelaCruz,8,ALL,President of the US,,PSL
Bradford,Terry,10,ALL,President of the US,,CPF
Bradford,Sonski,5,ALL,President of the US,,ASP
Bradford,Stein,16,ALL,President of the US,,GRN
Bradford,Ayyadurai,0,ALL,President of the US,,WRI
Bradford,Fox,0,ALL,President of the US,,WRI
Brevard,Trump,216502,ALL,President of the US,,REP
Brevard,Harris,141166,ALL,President of the US,,DEM
Brevard,Oliver,1462,ALL,President of the US,,LIB
Brevard,DelaCruz,316,ALL,President of the US,,PSL
Brevard,Terry,228,ALL,President of the US,,CPF
Brevard,Sonski,361,ALL,President of the US,,ASP
Brevard,Stein,1316,ALL,President of the US,,GRN
Brevard,Ayyadurai,0,ALL,President of the US,,WRI
Brevard,Fox,0,ALL,President of the US,,WRI
Broward,Trump,358842,ALL,President of the US,,REP
Broward,Harris,507057,ALL,President of the US,,DEM
Broward,Oliver,1793,ALL,President of the US,,LIB
Broward,DelaCruz,1046,ALL,President of the US,,PSL
Broward,Terry,404,ALL,President of the US,,CPF
Broward,Sonski,502,ALL,President of the US,,ASP
Broward,Stein,4489,ALL,President of the US,,GRN
Broward,Ayyadurai,0,ALL,President of the US,,WRI
Broward,Fox,0,ALL,President of the US,,WRI
Calhoun,Trump,5366,ALL,President of the US,,REP
Calhoun,Harris,1019,ALL,President of the US,,DEM
Calhoun,Oliver,17,ALL,President of the US,,LIB
Calhoun,DelaCruz,5,ALL,President of the US,,PSL
Calhoun,Terry,5,ALL,President of the US,,CPF
Calhoun,Sonski,0,ALL,President of the US,,ASP
Calhoun,Stein,13,ALL,President of the US,,GRN
Calhoun,Ayyadurai,0,ALL,President of the US,,WRI
Calhoun,Fox,0,ALL,President of the US,,WRI
Charlotte,Trump,82952,ALL,President of the US,,REP
Charlotte,Harris,40427,ALL,President of the US,,DEM
Charlotte,Oliver,330,ALL,President of the US,,LIB
Charlotte,DelaCruz,57,ALL,President of the US,,PSL
Charlotte,Terry,40,ALL,President of the US,,CPF
Charlotte,Sonski,43,ALL,President of the US,,ASP
Charlotte,Stein,274,ALL,President of the US,,GRN
Charlotte,Ayyadurai,2,ALL,President of the US,,WRI
Charlotte,Fox,0,ALL,President of the US,,WRI
Citrus,Trump,71345,ALL,President of the US,,REP
Citrus,Harris,26267,ALL,President of the US,,DEM
Citrus,Oliver,240,ALL,President of the US,,LIB
Citrus,DelaCruz,66,ALL,President of the US,,PSL
Citrus,Terry,55,ALL,President of the US,,CPF
Citrus,Sonski,49,ALL,President of the US,,ASP
Citrus,Stein,190,ALL,President of the US,,GRN
Citrus,Ayyadurai,4,ALL,President of the US,,WRI
Citrus,Fox,0,ALL,President of the US,,WRI
Clay,Trump,87705,ALL,President of the US,,REP
Clay,Harris,37905,ALL,President of the US,,DEM
Clay,Oliver,483,ALL,President of the US,,LIB
Clay,DelaCruz,147,ALL,President of the US,,PSL
Clay,Terry,79,ALL,President of the US,,CPF
Clay,Sonski,86,ALL,President of the US,,ASP
Clay,Stein,374,ALL,President of the US,,GRN
Clay,Ayyadurai,4,ALL,President of the US,,WRI
