county,precinct,office,district,party,candidate,votes
Adair,ALL,President of the US,,DEM,Harris,1085
Adams,ALL,President of the US,,DEM,Harris,576
Allamakee,ALL,President of the US,,DEM,Harris,2350
Appanoose,ALL,President of the US,,DEM,Harris,1690
Audubon,ALL,President of the US,,DEM,Harris,970
Benton,ALL,President of the US,,DEM,Harris,4738
Black Hawk,ALL,President of the US,,DEM,Harris,31272
Boone,ALL,President of the US,,DEM,Harris,5894
Bremer,ALL,President of the US,,DEM,Harris,5552
Buchanan,ALL,President of the US,,DEM,Harris,3758
Buena Vista,ALL,President of the US,,DEM,Harris,2460
Butler,ALL,President of the US,,DEM,Harris,2143
Calhoun,ALL,President of the US,,DEM,Harris,1327
Carroll,ALL,President of the US,,DEM,Harris,3153
Cass,ALL,President of the US,,DEM,Harris,2074
Cedar,ALL,President of the US,,DEM,Harris,4075
Cerro Gordo,ALL,President of the US,,DEM,Harris,9949
Cherokee,ALL,President of the US,,DEM,Harris,1611
Chickasaw,ALL,President of the US,,DEM,Harris,1918
Clarke,ALL,President of the US,,DEM,Harris,1264
Clay,ALL,President of the US,,DEM,Harris,2366
Clayton,ALL,President of the US,,DEM,Harris,3015
Clinton,ALL,President of the US,,DEM,Harris,9471
Crawford,ALL,President of the US,,DEM,Harris,1811
Dallas,ALL,President of the US,,DEM,Harris,29353
Davis,ALL,President of the US,,DEM,Harris,878
Decatur,ALL,President of the US,,DEM,Harris,957
Delaware,ALL,President of the US,,DEM,Harris,2975
Des Moines,ALL,President of the US,,DEM,Harris,7931
Dickinson,ALL,President of the US,,DEM,Harris,3291
Dubuque,ALL,President of the US,,DEM,Harris,23697
Emmet,ALL,President of the US,,DEM,Harris,1315
Fayette,ALL,President of the US,,DEM,Harris,3334
Floyd,ALL,President of the US,,DEM,Harris,2781
Franklin,ALL,President of the US,,DEM,Harris,1393
Fremont,ALL,President of the US,,DEM,Harris,1023
Greene,ALL,President of the US,,DEM,Harris,1599
Grundy,ALL,President of the US,,DEM,Harris,2016
Guthrie,ALL,President of the US,,DEM,Harris,1973
Hamilton,ALL,President of the US,,DEM,Harris,2480
Hancock,ALL,President of the US,,DEM,Harris,1523
Hardin,ALL,President of the US,,DEM,Harris,2547
Harrison,ALL,President of the US,,DEM,Harris,2245
Henry,ALL,President of the US,,DEM,Harris,2994
Howard,ALL,President of the US,,DEM,Harris,1618
Humboldt,ALL,President of the US,,DEM,Harris,1232
Ida,ALL,President of the US,,DEM,Harris,826
Iowa,ALL,President of the US,,DEM,Harris,3400
Jackson,ALL,President of the US,,DEM,Harris,3565
Jasper,ALL,President of the US,,DEM,Harris,7140
Jefferson,ALL,President of the US,,DEM,Harris,3774
Johnson,ALL,President of the US,,DEM,Harris,58772
Jones,ALL,President of the US,,DEM,Harris,3939
Keokuk,ALL,President of the US,,DEM,Harris,1219
Kossuth,ALL,President of the US,,DEM,Harris,2280
Lee,ALL,President of the US,,DEM,Harris,5653
Linn,ALL,President of the US,,DEM,Harris,66296
Louisa,ALL,President of the US,,DEM,Harris,1480
Lucas,ALL,President of the US,,DEM,Harris,1169
Lyon,ALL,President of the US,,DEM,Harris,1020
Madison,ALL,President of the US,,DEM,Harris,3005
Mahaska,ALL,President of the US,,DEM,Harris,2530
Marion,ALL,President of the US,,DEM,Harris,5928
Marshall,ALL,President of the US,,DEM,Harris,7134
Mills,ALL,President of the US,,DEM,Harris,2448
Mitchell,ALL,President of the US,,DEM,Harris,1943
Monona,ALL,President of the US,,DEM,Harris,1235
Monroe,ALL,President of the US,,DEM,Harris,1002
Montgomery,ALL,President of the US,,DEM,Harris,1507
Muscatine,ALL,President of the US,,DEM,Harris,8210
O'Brien,ALL,President of the US,,DEM,Harris,1427
Osceola,ALL,President of the US,,DEM,Harris,555
Page,ALL,President of the US,,DEM,Harris,2060
Palo Alto,ALL,President of the US,,DEM,Harris,1338
Plymouth,ALL,President of the US,,DEM,Harris,3102
Pocahontas,ALL,President of the US,,DEM,Harris,794
Polk,ALL,President of the US,,DEM,Harris,139963
Pottawattamie,ALL,President of the US,,DEM,Harris,17464
Poweshiek,ALL,President of the US,,DEM,Harris,4048
Ringgold,ALL,President of the US,,DEM,Harris,638
Sac,ALL,President of the US,,DEM,Harris,1288
Scott,ALL,President of the US,,DEM,Harris,42448
Shelby,ALL,President of the US,,DEM,Harris,118
Sioux,ALL,President of the US,,DEM,Harris,2617
Story,ALL,President of the US,,DEM,Harris,26702
Tama,ALL,President of the US,,DEM,Harris,3069
Taylor,ALL,President of the US,,DEM,Harris,666
Union,ALL,President of the US,,DEM,Harris,1871
Van Buren,ALL,President of the US,,DEM,Harris,778
Wapello,ALL,President of the US,,DEM,Harris,4892
Warren,ALL,President of the US,,DEM,Harris,12662
Washington,ALL,President of the US,,DEM,Harris,4296
