county,precinct,candidate,votes,voteType,party,office
St. Joseph,ALL,Kamala D. Harris,9451,Total,Democrat,President/Vice-President
St. Joseph,"Burr Oak Township, Precinct 1",Kamala D. Harris,294,Total,Democrat,President/Vice-President
St. Joseph,"Colon Township, Precinct 1",Kamala D. Harris,432,Total,Democrat,President/Vice-President
St. Joseph,"Constantine Township, Precinct 1",Kamala D. Harris,322,Total,Democrat,President/Vice-President
St. Joseph,"Constantine Township, Precinct 2",Kamala D. Harris,209,Total,Democrat,President/Vice-President
St. Joseph,"Fabius Township, Precinct 1",Kamala D. Harris,697,Total,Democrat,President/Vice-President
St. Joseph,"Fawn River Township, Precinct 1",Kamala D. Harris,205,Total,Democrat,President/Vice-President
St. Joseph,"Florence Township, Precinct 1",Kamala D. Harris,137,Total,Democrat,President/Vice-President
St. Joseph,"Flowerfield Township, Precinct 1",Kamala D. Harris,270,Total,Democrat,President/Vice-President
St. Joseph,"Leonidas Township, Precinct 1",Kamala D. Harris,135,Total,Democrat,President/Vice-President
St. Joseph,"Lockport Township, Precinct 1",Kamala D. Harris,805,Total,Democrat,President/Vice-President
St. Joseph,"Mendon Township, Precinct 1",Kamala D. Harris,518,Total,Democrat,President/Vice-President
St. Joseph,"Mottville Township, Precinct 1",Kamala D. Harris,177,Total,Democrat,President/Vice-President
St. Joseph,"Nottawa Township, Precinct 1",Kamala D. Harris,568,Total,Democrat,President/Vice-President
St. Joseph,"Park Township, Precinct 1",Kamala D. Harris,444,Total,Democrat,President/Vice-President
St. Joseph,"Sherman Township, Precinct 1",Kamala D. Harris,518,Total,Democrat,President/Vice-President
St. Joseph,"Sturgis Township, Precinct 1",Kamala D. Harris,272,Total,Democrat,President/Vice-President
St. Joseph,"White Pigeon Township, Precinct 1",Kamala D. Harris,549,Total,Democrat,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 1",Kamala D. Harris,528,Total,Democrat,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 2",Kamala D. Harris,276,Total,Democrat,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 3",Kamala D. Harris,237,Total,Democrat,President/Vice-President
St. Joseph,"City of Sturgis, Precinct 4",Kamala D. Harris,407,Total,Democrat,President/Vice-President
