county,precinct,office,district,party,candidate,votes,election_day,absentee/mail-in,provisional
Cambria,Adams Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",243,172,71,0
Cambria,Adams Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",692,607,85,0
Cambria,Adams Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,4,0,0
Cambria,Adams Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Adams Township No. 1,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,2,2,0,0
Cambria,Adams Township - Dunlo,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",111,85,26,0
Cambria,Adams Township - Dunlo,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",308,274,33,1
Cambria,Adams Township - Dunlo,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",4,4,0,0
Cambria,Adams Township - Dunlo,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
Cambria,Adams Township - Dunlo,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,Write-in,0,0,0,0
Cambria,Adams Township - Elton,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",242,162,80,0
Cambria,Adams Township - Elton,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"DONALD J. TRUMP, PRESIDENT / JD VANCE, VICE-PRESIDENT",754,642,112,0
Cambria,Adams Township - Elton,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"CHASE OLIVER, PRESIDENT / MIKE TER MAAT, VICE-PRESIDENT",3,0,3,0
Cambria,Adams Township - Elton,PRESIDENT OF THE UNITED STATES ( 1),NA,NA,"JILL STEIN, PRESIDENT / RUDOLPH WARE, VICE-PRESIDENT",1,1,0,0
