county,candidate,votes,precinct,office,district,party
ANDERSON,Trump,15548,ALL,President of the US,,REP
ANDERSON,Harris,3621,ALL,President of the US,,DEM
ANDERSON,Oliver,76,ALL,President of the US,,LIB
ANDERSON,Stein,45,ALL,President of the US,,GRN
ANDERSON,Ayyadurai,0,ALL,President of the US,,OTH
ANDERSON,Cuellar,0,ALL,President of the US,,OTH
ANDERSON,DeLaCruz,2,ALL,President of the US,,OTH
ANDERSON,Fox,0,ALL,President of the US,,OTH
ANDERSON,Sonski,4,ALL,President of the US,,OTH
ANDERSON,West,0,ALL,President of the US,,OTH
ANDREWS,Trump,5204,ALL,President of the US,,REP
ANDREWS,Harris,806,ALL,President of the US,,DEM
ANDREWS,Oliver,34,ALL,President of the US,,LIB
ANDREWS,Stein,13,ALL,President of the US,,GRN
ANDREWS,Ayyadurai,0,ALL,President of the US,,OTH
ANDREWS,Cuellar,0,ALL,President of the US,,OTH
ANDREWS,DeLaCruz,0,ALL,President of the US,,OTH
ANDREWS,Fox,0,ALL,President of the US,,OTH
ANDREWS,Sonski,1,ALL,President of the US,,OTH
ANDREWS,West,0,ALL,President of the US,,OTH
ANGELINA,Trump,26034,ALL,President of the US,,REP
ANGELINA,Harris,8135,ALL,President of the US,,DEM
ANGELINA,Oliver,143,ALL,President of the US,,LIB
ANGELINA,Stein,81,ALL,President of the US,,GRN
ANGELINA,Ayyadurai,0,ALL,President of the US,,OTH
ANGELINA,Cuellar,0,ALL,President of the US,,OTH
ANGELINA,DeLaCruz,0,ALL,President of the US,,OTH
ANGELINA,Fox,0,ALL,President of the US,,OTH
ANGELINA,Sonski,0,ALL,President of the US,,OTH
ANGELINA,West,0,ALL,President of the US,,OTH
ARANSAS,Trump,10073,ALL,President of the US,,REP
ARANSAS,Harris,2826,ALL,President of the US,,DEM
ARANSAS,Oliver,67,ALL,President of the US,,LIB
ARANSAS,Stein,40,ALL,President of the US,,GRN
ARANSAS,Ayyadurai,0,ALL,President of the US,,OTH
ARANSAS,Cuellar,0,ALL,President of the US,,OTH
ARANSAS,DeLaCruz,0,ALL,President of the US,,OTH
ARANSAS,Fox,0,ALL,President of the US,,OTH
ARANSAS,Sonski,3,ALL,President of the US,,OTH
ARANSAS,West,0,ALL,President of the US,,OTH
ARCHER,Trump,4590,ALL,President of the US,,REP
ARCHER,Harris,519,ALL,President of the US,,DEM
ARCHER,Oliver,12,ALL,President of the US,,LIB
ARCHER,Stein,8,ALL,President of the US,,GRN
ARCHER,Ayyadurai,0,ALL,President of the US,,OTH
ARCHER,Cuellar,0,ALL,President of the US,,OTH
ARCHER,DeLaCruz,0,ALL,President of the US,,OTH
ARCHER,Fox,0,ALL,President of the US,,OTH
ARCHER,Sonski,0,ALL,President of the US,,OTH
ARCHER,West,0,ALL,President of the US,,OTH
ARMSTRONG,Trump,1029,ALL,President of the US,,REP
ARMSTRONG,Harris,77,ALL,President of the US,,DEM
ARMSTRONG,Oliver,3,ALL,President of the US,,LIB
ARMSTRONG,Stein,0,ALL,President of the US,,GRN
ARMSTRONG,Ayyadurai,0,ALL,President of the US,,OTH
ARMSTRONG,Cuellar,0,ALL,President of the US,,OTH
ARMSTRONG,DeLaCruz,0,ALL,President of the US,,OTH
ARMSTRONG,Fox,0,ALL,President of the US,,OTH
ARMSTRONG,Sonski,0,ALL,President of the US,,OTH
ARMSTRONG,West,0,ALL,President of the US,,OTH
ATASCOSA,Trump,13126,ALL,President of the US,,REP
ATASCOSA,Harris,5140,ALL,President of the US,,DEM
ATASCOSA,Oliver,72,ALL,President of the US,,LIB
ATASCOSA,Stein,74,ALL,President of the US,,GRN
ATASCOSA,Ayyadurai,0,ALL,President of the US,,OTH
ATASCOSA,Cuellar,0,ALL,President of the US,,OTH
ATASCOSA,DeLaCruz,0,ALL,President of the US,,OTH
ATASCOSA,Fox,0,ALL,President of the US,,OTH
ATASCOSA,Sonski,0,ALL,President of the US,,OTH
ATASCOSA,West,2,ALL,President of the US,,OTH
AUSTIN,Trump,12438,ALL,President of the US,,REP
AUSTIN,Harris,2809,ALL,President of the US,,DEM
AUSTIN,Oliver,60,ALL,President of the US,,LIB
AUSTIN,Stein,46,ALL,President of the US,,GRN
AUSTIN,Ayyadurai,0,ALL,President of the US,,OTH
AUSTIN,Cuellar,0,ALL,President of the US,,OTH
AUSTIN,DeLaCruz,0,ALL,President of the US,,OTH
AUSTIN,Fox,0,ALL,President of the US,,OTH
AUSTIN,Sonski,3,ALL,President of the US,,OTH
AUSTIN,West,1,ALL,President of the US,,OTH
BAILEY,Trump,1393,ALL,President of the US,,REP
BAILEY,Harris,332,ALL,President of the US,,DEM
BAILEY,Oliver,9,ALL,President of the US,,LIB
BAILEY,Stein,4,ALL,President of the US,,GRN
BAILEY,Ayyadurai,0,ALL,President of the US,,OTH
BAILEY,Cuellar,0,ALL,President of the US,,OTH
BAILEY,DeLaCruz,1,ALL,President of the US,,OTH
BAILEY,Fox,0,ALL,President of the US,,OTH
BAILEY,Sonski,0,ALL,President of the US,,OTH
BAILEY,West,0,ALL,President of the US,,OTH
BANDERA,Trump,10929,ALL,President of the US,,REP
BANDERA,Harris,2527,ALL,President of the US,,DEM
BANDERA,Oliver,76,ALL,President of the US,,LIB
BANDERA,Stein,45,ALL,President of the US,,GRN
BANDERA,Ayyadurai,0,ALL,President of the US,,OTH
BANDERA,Cuellar,0,ALL,President of the US,,OTH
BANDERA,DeLaCruz,0,ALL,President of the US,,OTH
BANDERA,Fox,0,ALL,President of the US,,OTH
BANDERA,Sonski,3,ALL,President of the US,,OTH
BANDERA,West,5,ALL,President of the US,,OTH
BASTROP,Trump,23276,ALL,President of the US,,REP
BASTROP,Harris,15941,ALL,President of the US,,DEM
BASTROP,Oliver,299,ALL,President of the US,,LIB
BASTROP,Stein,199,ALL,President of the US,,GRN
BASTROP,Ayyadurai,1,ALL,President of the US,,OTH
BASTROP,Cuellar,0,ALL,President of the US,,OTH
BASTROP,DeLaCruz,4,ALL,President of the US,,OTH
BASTROP,Fox,0,ALL,President of the US,,OTH
BASTROP,Sonski,7,ALL,President of the US,,OTH
BASTROP,West,6,ALL,President of the US,,OTH
BAYLOR,Trump,1467,ALL,President of the US,,REP
BAYLOR,Harris,184,ALL,President of the US,,DEM
BAYLOR,Oliver,7,ALL,President of the US,,LIB
BAYLOR,Stein,8,ALL,President of the US,,GRN
BAYLOR,Ayyadurai,5,ALL,President of the US,,OTH
BAYLOR,Cuellar,0,ALL,President of the US,,OTH
BAYLOR,DeLaCruz,0,ALL,President of the US,,OTH
BAYLOR,Fox,0,ALL,President of the US,,OTH
BAYLOR,Sonski,0,ALL,President of the US,,OTH
BAYLOR,West,0,ALL,President of the US,,OTH
BEE,Trump,6107,ALL,President of the US,,REP
BEE,Harris,2597,ALL,President of the US,,DEM
BEE,Oliver,40,ALL,President of the US,,LIB
BEE,Stein,32,ALL,President of the US,,GRN
BEE,Ayyadurai,0,ALL,President of the US,,OTH
BEE,Cuellar,0,ALL,President of the US,,OTH
BEE,DeLaCruz,0,ALL,President of the US,,OTH
BEE,Fox,0,ALL,President of the US,,OTH
BEE,Sonski,1,ALL,President of the US,,OTH
BEE,West,0,ALL,President of the US,,OTH
BELL,Trump,75031,ALL,President of the US,,REP
BELL,Harris,53800,ALL,President of the US,,DEM
BELL,Oliver,844,ALL,President of the US,,LIB
BELL,Stein,575,ALL,President of the US,,GRN
BELL,Ayyadurai,1,ALL,President of the US,,OTH
BELL,Cuellar,3,ALL,President of the US,,OTH
BELL,DeLaCruz,16,ALL,President of the US,,OTH
BELL,Fox,0,ALL,President of the US,,OTH
BELL,Sonski,47,ALL,President of the US,,OTH
BELL,West,38,ALL,President of the US,,OTH
BEXAR,Trump,336260,ALL,President of the US,,REP
BEXAR,Harris,408981,ALL,President of the US,,DEM
BEXAR,Oliver,4267,ALL,President of the US,,LIB
BEXAR,Stein,4275,ALL,President of the US,,GRN
BEXAR,Ayyadurai,35,ALL,President of the US,,OTH
BEXAR,Cuellar,4,ALL,President of the US,,OTH
BEXAR,DeLaCruz,207,ALL,President of the US,,OTH
BEXAR,Fox,2,ALL,President of the US,,OTH
BEXAR,Sonski,181,ALL,President of the US,,OTH
BEXAR,West,94,ALL,President of the US,,OTH
BLANCO,Trump,6384,ALL,President of the US,,REP
BLANCO,Harris,1952,ALL,President of the US,,DEM
BLANCO,Oliver,67,ALL,President of the US,,LIB
BLANCO,Stein,31,ALL,President of the US,,GRN
BLANCO,Ayyadurai,0,ALL,President of the US,,OTH
BLANCO,Cuellar,0,ALL,President of the US,,OTH
BLANCO,DeLaCruz,1,ALL,President of the US,,OTH
BLANCO,Fox,0,ALL,President of the US,,OTH
BLANCO,Sonski,4,ALL,President of the US,,OTH
BLANCO,West,0,ALL,President of the US,,OTH
BORDEN,Trump,370,ALL,President of the US,,REP
BORDEN,Harris,16,ALL,President of the US,,DEM
BORDEN,Oliver,1,ALL,President of the US,,LIB
BORDEN,Stein,0,ALL,President of the US,,GRN
BORDEN,Ayyadurai,0,ALL,President of the US,,OTH
