county,precinct,office,district,party,candidate,votes
ADAMS,ALL,President of the US,,DEM,Harris,4434
ASHLAND,ALL,President of the US,,DEM,Harris,4612
BARRON,ALL,President of the US,,DEM,Harris,8941
BAYFIELD,ALL,President of the US,,DEM,Harris,6107
BROWN,ALL,President of the US,,DEM,Harris,67910
BUFFALO,ALL,President of the US,,DEM,Harris,2765
BURNETT,ALL,President of the US,,DEM,Harris,3676
CALUMET,ALL,President of the US,,DEM,Harris,12922
CHIPPEWA,ALL,President of the US,,DEM,Harris,14575
CLARK,ALL,President of the US,,DEM,Harris,4509
COLUMBIA,ALL,President of the US,,DEM,Harris,16386
CRAWFORD,ALL,President of the US,,DEM,Harris,3850
DANE,ALL,President of the US,,DEM,Harris,273954
DODGE,ALL,President of the US,,DEM,Harris,16520
DOOR,ALL,President of the US,,DEM,Harris,10564
DOUGLAS,ALL,President of the US,,DEM,Harris,13072
DUNN,ALL,President of the US,,DEM,Harris,10637
EAU CLAIRE,ALL,President of the US,,DEM,Harris,34395
FLORENCE,ALL,President of the US,,DEM,Harris,783
FOND DU LAC,ALL,President of the US,,DEM,Harris,20494
FOREST,ALL,President of the US,,DEM,Harris,1681
GRANT,ALL,President of the US,,DEM,Harris,10965
GREEN,ALL,President of the US,,DEM,Harris,10903
GREEN LAKE,ALL,President of the US,,DEM,Harris,3448
IOWA,ALL,President of the US,,DEM,Harris,7750
IRON,ALL,President of the US,,DEM,Harris,1487
JACKSON,ALL,President of the US,,DEM,Harris,4157
JEFFERSON,ALL,President of the US,,DEM,Harris,20581
JUNEAU,ALL,President of the US,,DEM,Harris,4854
KENOSHA,ALL,President of the US,,DEM,Harris,41823
KEWAUNEE,ALL,President of the US,,DEM,Harris,4058
LA CROSSE,ALL,President of the US,,DEM,Harris,39003
LAFAYETTE,ALL,President of the US,,DEM,Harris,3469
LANGLADE,ALL,President of the US,,DEM,Harris,3738
LINCOLN,ALL,President of the US,,DEM,Harris,6306
MANITOWOC,ALL,President of the US,,DEM,Harris,17398
MARATHON,ALL,President of the US,,DEM,Harris,31528
MARINETTE,ALL,President of the US,,DEM,Harris,7415
MARQUETTE,ALL,President of the US,,DEM,Harris,3252
MENOMINEE,ALL,President of the US,,DEM,Harris,1266
MILWAUKEE,ALL,President of the US,,DEM,Harris,316256
MONROE,ALL,President of the US,,DEM,Harris,8430
OCONTO,ALL,President of the US,,DEM,Harris,6967
ONEIDA,ALL,President of the US,,DEM,Harris,10079
OUTAGAMIE,ALL,President of the US,,DEM,Harris,49435
OZAUKEE,ALL,President of the US,,DEM,Harris,27873
PEPIN,ALL,President of the US,,DEM,Harris,1523
PIERCE,ALL,President of the US,,DEM,Harris,10168
POLK,ALL,President of the US,,DEM,Harris,9567
PORTAGE,ALL,President of the US,,DEM,Harris,21501
PRICE,ALL,President of the US,,DEM,Harris,3005
RACINE,ALL,President of the US,,DEM,Harris,49716
RICHLAND,ALL,President of the US,,DEM,Harris,3982
ROCK,ALL,President of the US,,DEM,Harris,46642
RUSK,ALL,President of the US,,DEM,Harris,2516
ST. CROIX,ALL,President of the US,,DEM,Harris,35532
SAUK,ALL,President of the US,,DEM,Harris,18170
SAWYER,ALL,President of the US,,DEM,Harris,4599
SHAWANO,ALL,President of the US,,DEM,Harris,7311
SHEBOYGAN,ALL,President of the US,,DEM,Harris,27733
TAYLOR,ALL,President of the US,,DEM,Harris,2823
TREMPEALEAU,ALL,President of the US,,DEM,Harris,6217
VERNON,ALL,President of the US,,DEM,Harris,7478
VILAS,ALL,President of the US,,DEM,Harris,6119
WALWORTH,ALL,President of the US,,DEM,Harris,23139
WASHBURN,ALL,President of the US,,DEM,Harris,3869
WASHINGTON,ALL,President of the US,,DEM,Harris,28505
WAUKESHA,ALL,President of the US,,DEM,Harris,108460
WAUPACA,ALL,President of the US,,DEM,Harris,9932
WAUSHARA,ALL,President of the US,,DEM,Harris,4527
WINNEBAGO,ALL,President of the US,,DEM,Harris,44657
WOOD,ALL,President of the US,,DEM,Harris,16595
ADAMS,ALL,President of the US,,REP,Trump,7750
ASHLAND,ALL,President of the US,,REP,Trump,4190
BARRON,ALL,President of the US,,REP,Trump,16744
BAYFIELD,ALL,President of the US,,REP,Trump,4860
BROWN,ALL,President of the US,,REP,Trump,79115
BUFFALO,ALL,President of the US,,REP,Trump,5213
BURNETT,ALL,President of the US,,REP,Trump,7005
CALUMET,ALL,President of the US,,REP,Trump,19474
CHIPPEWA,ALL,President of the US,,REP,Trump,23414
CLARK,ALL,President of the US,,REP,Trump,10485
COLUMBIA,ALL,President of the US,,REP,Trump,17988
CRAWFORD,ALL,President of the US,,REP,Trump,5081
