Field                  	Length       	Data_Type
Election_Year                   4       		Numeric
Election_Type	1       		Character
County_Code			2       		Numeric
Precinct_Code			7       		Numeric
Candidate_Office_Rank		2       		Numeric
Candidate_District		3       		Numeric
Candidate_Party_Rank		2       		Numeric
Candidate_Ballot_Position	2       		Numeric
Candidate_Office_Code		3       		Character
Candidate_Party_Code		3       		Character
Candidate_Number		7       		Numeric
Candidate_Last_Name		50      		Character
Candidate_First_Name		50      		Character
Candidate_Middle_Name		50      		Character
Candidate_Suffix		10       		Character
Vote_Total			7       		Numeric
US_Congressional_District	2       		Numeric
State_Senatorial_District	2       		Numeric
State_House_District		3       		Numeric
Municipality_Type_Code	1       		Numeric
Municipality_Name		23      		Character
Municipality_Breakdown_Code_1	1       		Character
Municipality_Breakdown_Name_1	21      		Character
Municipality_Breakdown_Code_2	1       		Character
Municipality_Breakdown_Name_2	21      		Character
Bi_County_Code		2       		Numeric
MCD_Code			3       		Numeric
FIPS_Code			3       		Numeric
VTD_code			4       		Numeric
Previous_Precinct_Code		7       		Numeric
Previous_US_Congressional_District	2       		Numeric
Previous_State_Senatorial_District	2       		Numeric
Previous_State_House_District	3       		Numeric
