Field                           		Length  	Data_Type
Election_Year                	4  		Numeric
Election_Type_Code              	1  		Character
County_Code			2  		Numeric
Precinct_Code                                             	7  		Numeric
Party_1_rank                                              	2  		Numeric
Party_1_abbreviation                                      	3  		Character
Registered_Voters_for_party_1                             	7  		Numeric
Party_2_rank                                              	2  		Numeric
Party_2_abbreviation                                      	3  		Character
Registered_Voters_for_party_2                             	7  		Numeric
Party_3_rank                                              	2  		Numeric
Party_3_abbreviation                                      	3  		Character
Registered_Voters_for_party_3                             	7  		Numeric
Party_4_rank                                              	2  		Numeric
Party_4_abbreviation                                      	3  		Character
Registered_Voters_for_party_4                             	7  		Numeric
Party_5_rank                                              	2  		Numeric
Party_5_abbreviation                                      	3  		Character
Registered_Voters_for_party_5                             	7  		Numeric
Party_6_rank                                              	2  		Numeric
Party_6_abbreviation                                      	3  		Character
Registered_Voters_for_party_6                             	7  		Numeric
US_Congressional_District                               	2  		Numeric
Pennsylvania_State_Senatorial_District                    	2  		Numeric
Pennsylvania_State_House_District                         	3  		Numeric
Municipality_Type_Code                                    	1  		Numeric
Municipality_Name                                        	23  		Character
Municipality_Breakdown_Code_1                             	1  		Character
Municipality_Breakdown_Name_1                            	21  		Character
Municipality_Breakdown_Code_2                             	1  		Character
Municipality_Breakdown_Name_2                            	21  		Character
BiCounty_Code    	2  		Numeric
MCD_Code                                                  	3  		Numeric
FIPS_Code                                                 	3  		Numeric
VTD_code                                                  	4  		Numeric
Previous_Precinct_Code                                    	7  		Numeric
Previous_US_Congressional_District                      	2  		Numeric
Previous_PA_State_Senatorial_District                     	2  		Numeric
Previous_PA_State_House_District                          	3  		Numeric
